SchemeCode,Date,NAV
100033,2011-01-03,174.45000
100033,2011-01-04,173.82000
100033,2011-01-05,171.88000
100033,2011-01-06,170.89000
100033,2011-01-07,166.81000
100033,2011-01-10,162.27000
100033,2011-01-11,161.86000
100033,2011-01-12,164.63000
100033,2011-01-13,162.29000
100033,2011-01-14,159.48000
100033,2011-01-17,158.41000
100033,2011-01-18,160.24000
100033,2011-01-19,159.63000
100033,2011-01-20,159.82000
100033,2011-01-21,159.68000
100033,2011-01-24,160.99000
100033,2011-01-25,160.07000
100033,2011-01-27,157.78000
100033,2011-01-28,154.32000
100033,2011-01-31,154.27000
100033,2011-02-01,151.47000
100033,2011-02-02,151.47000
100033,2011-02-03,153.49000
100033,2011-02-04,149.82000
100033,2011-02-07,149.25000
100033,2011-02-08,146.55000
100033,2011-02-09,143.17000
100033,2011-02-10,141.78000
100033,2011-02-11,145.43000
100033,2011-02-14,150.16000
100033,2011-02-15,150.52000
100033,2011-02-16,150.82000
100033,2011-02-17,152.30000
100033,2011-02-18,150.15000
100033,2011-02-21,151.34000
100033,2011-02-22,149.67000
100033,2011-02-23,148.89000
100033,2011-02-24,144.27000
100033,2011-02-25,144.94000
100033,2011-02-28,145.73000
100033,2011-03-01,150.47000
100033,2011-03-03,150.79000
100033,2011-03-04,150.69000
100033,2011-03-07,148.49000
100033,2011-03-08,150.03000
100033,2011-03-09,150.21000
100033,2011-03-10,149.18000
100033,2011-03-11,147.70000
100033,2011-03-14,149.51000
100033,2011-03-15,147.78000
100033,2011-03-16,149.50000
100033,2011-03-17,148.32000
100033,2011-03-18,146.82000
100033,2011-03-21,146.57000
100033,2011-03-22,147.85000
100033,2011-03-23,149.29000
100033,2011-03-24,150.44000
100033,2011-03-25,153.11000
100033,2011-03-28,154.28000
100033,2011-03-29,155.28000
100033,2011-03-30,157.12000
100033,2011-03-31,157.71000
100033,2011-04-01,158.21000
100033,2011-04-04,160.50000
100033,2011-04-05,161.01000
100033,2011-04-06,160.91000
100033,2011-04-07,161.71000
100033,2011-04-08,160.16000
100033,2011-04-11,158.75000
100033,2011-04-13,161.36000
100033,2011-04-15,159.71000
100033,2011-04-18,157.40000
100033,2011-04-19,157.87000
100033,2011-04-20,160.54000
100033,2011-04-21,161.51000
100033,2011-04-25,161.11000
100033,2011-04-26,160.56000
100033,2011-04-27,160.28000
100033,2011-04-28,158.85000
100033,2011-04-29,157.58000
100033,2011-05-02,155.80000
100033,2011-05-03,152.79000
100033,2011-05-04,152.05000
100033,2011-05-05,150.59000
100033,2011-05-06,153.03000
100033,2011-05-09,152.94000
100033,2011-05-10,152.93000
100033,2011-05-11,153.94000
100033,2011-05-12,151.84000
100033,2011-05-13,152.90000
100033,2011-05-16,151.82000
100033,2011-05-17,150.21000
100033,2011-05-18,149.95000
100033,2011-05-19,149.81000
100033,2011-05-20,151.20000
100033,2011-05-23,148.49000
100033,2011-05-24,148.81000
100033,2011-05-25,147.85000
100033,2011-05-26,149.05000
100033,2011-05-27,150.91000
100033,2011-05-30,151.03000
100033,2011-05-31,153.23000
100033,2011-06-01,154.04000
100033,2011-06-02,152.59000
100033,2011-06-03,152.08000
100033,2011-06-06,152.23000
100033,2011-06-07,153.02000
100033,2011-06-08,152.38000
100033,2011-06-09,152.39000
100033,2011-06-10,151.99000
100033,2011-06-13,151.88000
100033,2011-06-14,152.75000
100033,2011-06-15,151.61000
100033,2011-06-16,150.56000
100033,2011-06-17,149.50000
100033,2011-06-20,146.36000
100033,2011-06-21,146.55000
100033,2011-06-22,145.87000
100033,2011-06-23,146.15000
100033,2011-06-24,149.79000
100033,2011-06-27,151.71000
100033,2011-06-28,152.54000
100033,2011-06-29,153.78000
100033,2011-06-30,155.09000
100033,2011-07-01,154.58000
100033,2011-07-04,155.55000
100033,2011-07-05,155.23000
100033,2011-07-06,155.54000
100033,2011-07-07,158.12000
100033,2011-07-08,156.71000
100033,2011-07-11,155.88000
100033,2011-07-12,154.38000
100033,2011-07-13,155.60000
100033,2011-07-14,156.19000
100033,2011-07-15,156.24000
100033,2011-07-18,155.85000
100033,2011-07-19,157.08000
100033,2011-07-20,155.75000
100033,2011-07-21,154.77000
100033,2011-07-22,157.01000
100033,2011-07-25,157.99000
100033,2011-07-26,155.41000
100033,2011-07-27,154.78000
100033,2011-07-28,153.19000
100033,2011-07-29,153.09000
100033,2011-08-01,153.41000
100033,2011-08-02,151.85000
100033,2011-08-03,150.42000
100033,2011-08-04,149.22000
100033,2011-08-05,146.70000
100033,2011-08-08,144.37000
100033,2011-08-09,143.34000
100033,2011-08-10,145.20000
100033,2011-08-11,144.68000
100033,2011-08-12,143.71000
100033,2011-08-16,142.79000
100033,2011-08-17,142.69000
100033,2011-08-18,140.12000
100033,2011-08-19,138.28000
100033,2011-08-22,139.26000
100033,2011-08-23,141.06000
100033,2011-08-24,139.62000
100033,2011-08-25,138.15000
100033,2011-08-26,135.80000
100033,2011-08-29,139.68000
100033,2011-08-30,141.85000
100033,2011-09-02,143.08000
100033,2011-09-05,143.57000
100033,2011-09-06,143.98000
100033,2011-09-07,145.10000
100033,2011-09-08,145.26000
100033,2011-09-09,143.33000
100033,2011-09-12,140.07000
100033,2011-09-13,139.79000
100033,2011-09-14,140.62000
100033,2011-09-15,141.92000
100033,2011-09-16,142.12000
100033,2011-09-19,140.98000
100033,2011-09-20,142.97000
100033,2011-09-21,143.41000
100033,2011-09-22,138.54000
100033,2011-09-23,137.22000
100033,2011-09-26,135.66000
100033,2011-09-27,138.18000
100033,2011-09-28,137.64000
100033,2011-09-29,138.56000
100033,2011-09-30,137.27000
100033,2011-10-03,135.37000
100033,2011-10-04,133.47000
100033,2011-10-05,132.63000
100033,2011-10-07,134.93000
100033,2011-10-10,136.52000
100033,2011-10-11,136.54000
100033,2011-10-12,139.40000
100033,2011-10-13,138.97000
100033,2011-10-14,140.23000
100033,2011-10-17,140.07000
100033,2011-10-18,138.11000
100033,2011-10-19,140.12000
100033,2011-10-20,139.17000
100033,2011-10-21,138.66000
100033,2011-10-24,139.45000
100033,2011-10-25,140.62000
100033,2011-10-28,143.96000
100033,2011-10-31,143.21000
100033,2011-11-01,141.96000
100033,2011-11-02,141.87000
100033,2011-11-03,141.95000
100033,2011-11-04,142.77000
100033,2011-11-08,142.86000
100033,2011-11-09,141.10000
100033,2011-11-11,140.17000
100033,2011-11-14,139.43000
100033,2011-11-15,137.49000
100033,2011-11-16,136.71000
100033,2011-11-17,134.79000
100033,2011-11-18,133.64000
100033,2011-11-21,130.76000
100033,2011-11-22,131.30000
100033,2011-11-23,128.93000
100033,2011-11-24,130.37000
100033,2011-11-25,130.16000
100033,2011-11-28,132.83000
100033,2011-11-29,131.43000
100033,2011-11-30,131.93000
100033,2011-12-01,133.88000
100033,2011-12-02,136.45000
100033,2011-12-05,136.26000
100033,2011-12-07,136.48000
100033,2011-12-08,134.28000
100033,2011-12-09,132.28000
100033,2011-12-12,129.55000
100033,2011-12-13,129.91000
100033,2011-12-14,129.29000
100033,2011-12-15,129.19000
100033,2011-12-16,126.66000
100033,2011-12-19,125.11000
100033,2011-12-20,123.44000
100033,2011-12-21,126.10000
100033,2011-12-22,127.17000
100033,2011-12-23,126.56000
100033,2011-12-26,128.21000
100033,2011-12-27,127.51000
100033,2011-12-28,126.24000
100033,2011-12-29,125.24000
100033,2011-12-30,124.86000
100034,2011-01-03,94.52000
100034,2011-01-04,94.17000
100034,2011-01-05,93.12000
100034,2011-01-06,92.59000
100034,2011-01-07,90.38000
100034,2011-01-10,87.92000
100034,2011-01-11,87.70000
100034,2011-01-12,89.19000
100034,2011-01-13,87.93000
100034,2011-01-14,86.41000
100034,2011-01-17,85.83000
100034,2011-01-18,86.82000
100034,2011-01-19,86.49000
100034,2011-01-20,86.59000
100034,2011-01-21,86.52000
100034,2011-01-24,87.22000
100034,2011-01-25,86.72000
100034,2011-01-27,85.48000
100034,2011-01-28,83.61000
100034,2011-01-31,83.58000
100034,2011-02-01,82.07000
100034,2011-02-02,82.07000
100034,2011-02-03,83.16000
100034,2011-02-04,81.17000
100034,2011-02-07,76.36000
100034,2011-02-08,74.98000
100034,2011-02-09,73.25000
100034,2011-02-10,72.54000
100034,2011-02-11,74.41000
100034,2011-02-14,76.83000
100034,2011-02-15,77.01000
100034,2011-02-16,77.17000
100034,2011-02-17,77.92000
100034,2011-02-18,76.82000
100034,2011-02-21,77.43000
100034,2011-02-22,76.58000
100034,2011-02-23,76.18000
100034,2011-02-24,73.82000
100034,2011-02-25,74.16000
100034,2011-02-28,74.56000
100034,2011-03-01,76.98000
100034,2011-03-03,77.15000
100034,2011-03-04,77.10000
100034,2011-03-07,75.98000
100034,2011-03-08,76.76000
100034,2011-03-09,76.85000
100034,2011-03-10,76.33000
100034,2011-03-11,75.57000
100034,2011-03-14,76.49000
100034,2011-03-15,75.61000
100034,2011-03-16,76.49000
100034,2011-03-17,75.89000
100034,2011-03-18,75.12000
100034,2011-03-21,74.99000
100034,2011-03-22,75.64000
100034,2011-03-23,76.38000
100034,2011-03-24,76.97000
100034,2011-03-25,78.34000
100034,2011-03-28,78.94000
100034,2011-03-29,79.45000
100034,2011-03-30,80.39000
100034,2011-03-31,80.69000
100034,2011-04-01,80.95000
100034,2011-04-04,82.12000
100034,2011-04-05,82.38000
100034,2011-04-06,82.33000
100034,2011-04-07,82.74000
100034,2011-04-08,81.95000
100034,2011-04-11,81.22000
100034,2011-04-13,82.56000
100034,2011-04-15,81.72000
100034,2011-04-18,80.53000
100034,2011-04-19,80.77000
100034,2011-04-20,82.14000
100034,2011-04-21,82.64000
100034,2011-04-25,82.43000
100034,2011-04-26,82.15000
100034,2011-04-27,82.01000
100034,2011-04-28,81.28000
100034,2011-04-29,80.62000
100034,2011-05-02,79.71000
100034,2011-05-03,78.17000
100034,2011-05-04,77.79000
100034,2011-05-05,77.05000
100034,2011-05-06,78.30000
100034,2011-05-09,78.25000
100034,2011-05-10,78.24000
100034,2011-05-11,78.76000
100034,2011-05-12,77.69000
100034,2011-05-13,78.23000
100034,2011-05-16,77.68000
100034,2011-05-17,76.85000
100034,2011-05-18,76.72000
100034,2011-05-19,76.65000
100034,2011-05-20,77.36000
100034,2011-05-23,75.97000
100034,2011-05-24,76.14000
100034,2011-05-25,75.65000
100034,2011-05-26,76.26000
100034,2011-05-27,77.21000
100034,2011-05-30,77.27000
100034,2011-05-31,78.40000
100034,2011-06-01,78.81000
100034,2011-06-02,78.07000
100034,2011-06-03,77.81000
100034,2011-06-06,77.89000
100034,2011-06-07,78.29000
100034,2011-06-08,77.96000
100034,2011-06-09,77.97000
100034,2011-06-10,77.77000
100034,2011-06-13,77.71000
100034,2011-06-14,78.15000
100034,2011-06-15,77.57000
100034,2011-06-16,77.03000
100034,2011-06-17,76.49000
100034,2011-06-20,74.88000
100034,2011-06-21,74.98000
100034,2011-06-22,74.64000
100034,2011-06-23,74.78000
100034,2011-06-24,76.64000
100034,2011-06-27,77.62000
100034,2011-06-28,78.05000
100034,2011-06-29,78.68000
100034,2011-06-30,79.35000
100034,2011-07-01,79.09000
