Date,NAV
2012-09-14,1001.75310
2012-09-17,1001.75310
2012-09-18,1001.75310
2012-09-20,1001.75310
2012-09-21,1001.75310
2012-09-24,1001.75310
2012-09-25,1001.75310
2012-09-26,1001.75310
2012-09-27,1001.75310
2012-09-28,1001.75310
2012-10-01,1001.75310
2012-10-03,1001.75310
2012-10-04,1001.75310
2012-10-05,1001.75310
2012-10-08,1001.75310
2012-10-09,1001.75310
2012-10-10,1001.75310
2012-10-11,1001.75310
2012-10-12,1001.75310
2012-10-15,1001.75310
2012-10-16,1001.75310
2012-10-17,1001.75310
2012-10-18,1001.75310
2012-10-19,1001.75310
2012-10-22,1001.75310
2012-10-23,1001.75310
2012-10-25,1001.75310
2012-10-29,1001.75310
2012-10-30,1001.75310
2012-10-31,1001.75310
2012-11-01,1001.75310
2012-11-02,1001.75310
2012-11-05,1001.75310
2012-11-06,1001.75310
2012-11-07,1001.75310
2012-11-08,1001.75310
2012-11-09,1001.75310
2012-11-12,1001.75310
2012-11-15,1001.75310
2012-11-16,1001.75310
2012-11-19,1001.75310
2012-11-20,1001.75310
2012-11-21,1001.75310
2012-11-22,1001.75310
2012-11-23,1001.75310
2012-11-26,1001.75310
2012-11-27,1001.75310
2012-11-29,1001.75310
2012-11-30,1001.75310
2012-12-03,1001.75310
2012-12-04,1001.75310
2012-12-05,1001.75310
2012-12-06,1001.75310
2012-12-07,1001.75310
2012-12-10,1001.75310
2012-12-11,1001.75310
2012-12-12,1001.75310
2012-12-13,1001.75310
2012-12-14,1001.75310
2012-12-17,1001.75310
2012-12-18,1001.75310
2012-12-19,1001.75310
2012-12-20,1001.75310
2012-12-21,1001.75310
2012-12-24,1001.75310
2012-12-26,1001.75310
2012-12-27,1001.75310
2012-12-28,1001.75310
2012-12-31,1001.75310
2013-01-01,1001.75310
2013-01-02,1001.75310
2013-01-03,1001.75310
2013-01-04,1001.75310
2013-01-07,1001.75310
2013-01-08,1001.75310
2013-01-09,1001.75310
2013-01-10,1001.75310
2013-01-11,1001.75310
2013-01-14,1001.75310
2013-01-15,1001.75310
2013-01-16,1001.75310
2013-01-17,1001.75310
2013-01-18,1001.75310
2013-01-21,1001.75310
2013-01-22,1001.75310
2013-01-23,1001.75310
2013-01-24,1001.75310
2013-01-28,1001.75310
2013-01-29,1001.75310
2013-01-30,1001.70470
2013-01-31,1001.18240
2013-02-01,1000.61290
2013-02-04,1001.05820
2013-02-05,1001.23310
2013-02-06,1001.56440
2013-02-07,1001.75310
2013-02-08,1001.75310
2013-02-11,1001.75310
2013-02-12,1001.75310
2013-02-13,1001.75310
2013-02-14,1001.75310
2013-02-15,1001.75310
2013-02-18,1001.75310
2013-02-20,1001.75310
2013-02-21,1001.75310
2013-02-22,1001.75310
2013-02-25,1001.75310
2013-02-26,1001.75310
2013-02-27,1001.75310
2013-02-28,1001.75310
2013-03-01,1001.75310
2013-03-04,1001.75310
2013-03-05,1001.75310
2013-03-06,1001.75310
2013-03-07,1001.75310
2013-03-08,1001.75310
2013-03-11,1001.75310
2013-03-12,1001.75310
2013-03-13,1001.75310
2013-03-14,1001.75310
2013-03-15,1001.75310
2013-03-18,1001.75310
2013-03-19,1001.75310
2013-03-20,1001.75310
2013-03-21,1001.75310
2013-03-22,1001.75310
2013-03-25,1001.75310
2013-03-26,1001.75310
2013-03-28,1001.75310
2013-04-02,1001.75310
2013-04-03,1001.75310
2013-04-04,1001.75310
2013-04-05,1001.78600
2013-04-08,1001.75310
2013-04-09,1001.75310
2013-04-10,1001.75310
2013-04-12,1001.75310
2013-04-15,1001.75310
2013-04-16,1001.75310
2013-04-17,1001.75310
2013-04-18,1001.84950
2013-04-22,1001.75310
2013-04-23,1001.76100
2013-04-25,1001.75310
2013-04-26,1001.80900
2013-04-29,1001.76110
2013-04-30,1001.75680
2013-05-02,1001.84750
2013-05-03,1001.81430
2013-05-06,1001.75310
2013-05-07,1001.75310
2013-05-08,1001.79550
2013-05-09,1001.84220
2013-05-10,1001.86930
2013-05-13,1001.76540
2013-05-14,1001.75310
2013-05-15,1001.77100
2013-05-16,1001.78800
2013-05-17,1001.89060
2013-05-20,1001.75310
2013-05-21,1001.75310
2013-05-22,1001.75310
2013-05-23,1001.75310
2013-05-24,1001.75310
2013-05-27,1001.75310
2013-05-28,1001.75310
2013-05-29,1001.75310
2013-05-30,1001.75310
2013-05-31,1001.75310
2013-06-03,1001.75310
2013-06-04,1001.75310
2013-06-05,1001.75310
2013-06-06,1001.75310
2013-06-07,1001.75310
2013-06-10,1001.75310
2013-06-11,1001.75310
2013-06-12,1001.75310
2013-06-13,1001.75310
2013-06-14,1001.75310
2013-06-17,1001.75310
2013-06-18,1001.75310
2013-06-19,1001.75310
2013-06-20,1001.75310
2013-06-21,1001.75310
2013-06-24,1001.75310
2013-06-25,1001.75310
2013-06-26,1001.75310
2013-06-27,1001.75310
2013-06-28,1001.75310
2013-07-02,1001.82300
2013-07-03,1001.75360
2013-07-04,1001.75310
2013-07-05,1001.75310
2013-07-08,1001.75310
2013-07-09,1001.75310
2013-07-10,1001.75310
2013-07-11,1001.75310
2013-07-12,1001.75310
2013-07-15,1001.75310
2013-07-16,998.76160
2013-07-17,999.30890
2013-07-18,1000.37580
2013-07-19,1000.68410
2013-07-22,1001.29220
2013-07-23,1000.87380
2013-07-24,999.23400
2013-07-25,999.81330
2013-07-26,1000.30530
2013-07-29,1001.30530
2013-07-30,1001.63090
2013-07-31,1001.75310
2013-08-01,1001.75310
2013-08-02,1001.75310
2013-08-05,1001.75310
2013-08-06,1001.75310
2013-08-07,1001.75310
2013-08-08,1001.75310
2013-08-12,1001.75310
2013-08-13,1001.75310
2013-08-14,1001.75310
2013-08-16,1001.75310
2013-08-19,1001.75310
2013-08-20,1001.75310
2013-08-21,1001.75310
2013-08-22,1001.75310
2013-08-23,1001.75310
2013-08-26,1001.75310
2013-08-27,1001.75310
2013-08-28,1001.75310
2013-08-29,1001.75310
2013-08-30,1001.75310
2013-09-02,1001.75310
2013-09-03,1001.75310
2013-09-04,1001.75310
2013-09-05,1001.75310
2013-09-06,1001.75310
2013-09-10,1001.75310
2013-09-11,1001.75310
2013-09-12,1001.75310
2013-09-13,1001.75310
2013-09-16,1001.75310
2013-09-17,1001.75310
2013-09-18,1001.75310
2013-09-19,1001.75310
2013-09-20,1001.75310
2013-09-23,1001.75310
2013-09-24,1001.75310
2013-09-25,1001.75310
2013-09-26,1001.75310
2013-09-27,1001.75310
2013-09-30,1001.75310
2013-10-01,1001.75310
2013-10-03,1001.75310
2013-10-04,1001.75310
2013-10-07,1001.75310
2013-10-08,1001.75310
2013-10-09,1001.75310
2013-10-10,1001.75310
2013-10-11,1001.75310
2013-10-14,1001.75310
2013-10-15,1001.75310
2013-10-17,1001.75310
2013-10-18,1001.75310
2013-10-21,1001.75310
2013-10-22,1001.75310
2013-10-23,1001.75310
2013-10-24,1001.75310
2013-10-25,1001.75310
2013-10-28,1001.75310
2013-10-29,1001.75310
2013-10-30,1001.75310
2013-10-31,1001.75310
2013-11-01,1001.75310
2013-11-05,1001.75310
2013-11-06,1001.75310
2013-11-07,1001.75310
2013-11-08,1001.75310
2013-11-11,1001.75310
2013-11-12,1001.75310
2013-11-13,1001.75310
2013-11-14,1001.75310
2013-11-18,1001.75310
2013-11-19,1001.75310
2013-11-20,1001.75310
2013-11-21,1001.75310
2013-11-22,1001.75310
2013-11-25,1001.75310
2013-11-26,1001.75310
2013-11-27,1001.75310
2013-11-28,1001.75310
2013-11-29,1001.75310
2013-12-02,1001.75310
2013-12-03,1001.75310
2013-12-04,1001.75310
2013-12-05,1001.75310
2013-12-06,1001.75310
2013-12-09,1001.75310
2013-12-10,1001.75310
2013-12-11,1001.75310
2013-12-12,1001.75310
2013-12-13,1001.75310
2013-12-16,1001.75310
2013-12-17,1001.75310
2013-12-18,1001.75310
2013-12-19,1001.75310
2013-12-20,1001.75310
2013-12-23,1001.75310
2013-12-24,1001.75310
2013-12-26,1001.75310
2013-12-27,1001.75310
2013-12-30,1001.75310
2013-12-31,1001.75310
2014-01-01,1001.75310
2014-01-02,1001.75310
2014-01-03,1001.75310
2014-01-06,1001.75310
2014-01-07,1001.75310
2014-01-08,1001.75310
2014-01-09,1001.75310
2014-01-10,1001.75310
2014-01-13,1001.75310
2014-01-15,1001.75310
2014-01-16,1001.75310
2014-01-17,1001.75310
2014-01-20,1001.75310
2014-01-21,1001.75310
2014-01-22,1001.75310
2014-01-23,1001.75310
2014-01-24,1001.75310
2014-01-27,1001.75310
2014-01-28,1001.75310
2014-01-29,1001.75310
2014-01-30,1001.75310
2014-01-31,1001.75310
2014-02-03,1001.75310
2014-02-04,1001.75310
2014-02-05,1001.75310
2014-02-06,1001.75310
2014-02-07,1001.75310
2014-02-10,1001.75310
2014-02-11,1001.75310
2014-02-12,1001.75310
2014-02-13,1001.75310
2014-02-14,1001.75310
2014-02-17,1001.75310
2014-02-18,1001.75310
2014-02-20,1001.75310
2014-02-21,1001.75310
2014-02-24,1001.75310
2014-02-25,1001.75310
2014-02-26,1001.75310
2014-02-28,1001.75310
2014-03-03,1001.75310
2014-03-04,1001.75310
2014-03-05,1001.75310
2014-03-06,1001.75310
2014-03-07,1001.75310
2014-03-10,1001.75310
2014-03-11,1001.75310
2014-03-12,1001.75310
2014-03-13,1001.75310
2014-03-14,1001.75310
2014-03-18,1001.75310
2014-03-19,1001.75310
2014-03-20,1001.75310
2014-03-21,1001.75310
2014-03-24,1001.75310
2014-03-25,1001.75310
2014-03-26,1001.75310
2014-03-27,1001.75310
2014-03-28,1001.75310
2014-04-02,1001.75310
2014-04-03,1001.75310
2014-04-04,1001.75310
2014-04-07,1001.75310
2014-04-09,1001.75310
2014-04-10,1001.75310
2014-04-11,1001.75310
2014-04-15,1001.75310
2014-04-16,1001.75310
2014-04-17,1001.75310
2014-04-21,1001.75310
2014-04-22,1001.75310
2014-04-23,1001.75310
2014-04-25,1001.75310
2014-04-28,1001.75310
2014-04-29,1001.75310
2014-04-30,1001.75310
2014-05-02,1001.75310
2014-05-05,1001.75310
2014-05-06,1001.75310
2014-05-07,1001.75310
2014-05-08,1001.75310
2014-05-09,1001.75310
2014-05-12,1001.75310
2014-05-13,1001.75310
2014-05-15,1001.75310
2014-05-16,1001.75310
2014-05-19,1001.75310
2014-05-20,1001.75310
2014-05-21,1001.75310
2014-05-22,1001.75310
2014-05-23,1001.75310
2014-05-26,1001.75310
2014-05-27,1001.75310
2014-05-28,1001.75310
2014-05-29,1001.75310
2014-05-30,1001.75310
2014-06-02,1001.75310
2014-06-03,1001.75310
2014-06-04,1001.75310
2014-06-05,1001.75310
2014-06-06,1001.75310
2014-06-09,1001.75310
2014-06-10,1001.75310
2014-06-11,1001.75310
2014-06-12,1001.75310
2014-06-13,1001.75310
2014-06-16,1001.75310
2014-06-17,1001.75310
2014-06-18,1001.75310
2014-06-19,1001.75310
2014-06-20,1001.75310
2014-06-23,1001.75310
2014-06-24,1001.75310
2014-06-25,1001.75310
2014-06-26,1001.75310
2014-06-27,1001.75310
2014-06-30,1001.75310
2014-07-02,1001.75310
2014-07-03,1001.75310
2014-07-04,1001.75310
2014-07-07,1001.75310
2014-07-08,1001.75310
2014-07-09,1001.75310
2014-07-10,1001.75310
2014-07-11,1001.75310
2014-07-14,1001.75310
2014-07-15,1001.75310
2014-07-16,1001.75310
2014-07-17,1001.75310
2014-07-18,1001.75310
2014-07-21,1001.75310
2014-07-22,1001.75310
2014-07-23,1001.75310
2014-07-24,1001.75310
2014-07-25,1001.75310
2014-07-28,1001.75310
2014-07-30,1001.75310
2014-07-31,1001.75310
2014-08-01,1001.75310
2014-08-04,1001.75310
2014-08-05,1001.75310
2014-08-06,1001.75310
2014-08-07,1001.75310
2014-08-08,1001.75310
2014-08-11,1001.75310
2014-08-12,1001.75310
2014-08-13,1001.75310
2014-08-14,1001.75310
2014-08-19,1001.75310
2014-08-20,1001.75310
2014-08-21,1001.75310
2014-08-22,1001.75310
2014-08-25,1001.75310
2014-08-26,1001.75310
2014-08-27,1001.75310
2014-08-28,1001.75310
2014-09-01,1001.75310
2014-09-02,1001.75310
2014-09-03,1001.75310
2014-09-04,1001.75310
2014-09-05,1001.75310
2014-09-08,1001.75310
2014-09-09,1001.75310
2014-09-10,1001.75310
2014-09-11,1001.75310
2014-09-12,1001.75310
2014-09-15,1001.75310
2014-09-16,1001.75310
2014-09-17,1001.75310
2014-09-18,1001.75310
2014-09-19,1001.75310
2014-09-22,1001.75310
2014-09-23,1001.75310
2014-09-24,1001.75310
2014-09-25,1001.75310
2014-09-26,1001.75310
2014-09-29,1001.75310
2014-09-30,1001.75310
2014-10-01,1001.75310
2014-10-07,1001.75310
2014-10-08,1001.75310
2014-10-09,1001.75310
2014-10-10,1001.75310
2014-10-13,1001.75310
2014-10-14,1001.75310
2014-10-16,1001.75310
2014-10-17,1001.75310
2014-10-20,1001.75310
2014-10-21,1001.75310
2014-10-22,1001.75310
2014-10-27,1001.75310
2014-10-28,1001.75310
2014-10-29,1001.75310
2014-10-30,1001.75310
2014-10-31,1001.75310
2014-11-03,1001.75310
2014-11-05,1001.75310
2014-11-07,1001.75310
2014-11-10,1001.75310
2014-11-11,1001.75310
2014-11-12,1001.75310
2014-11-13,1001.75310
2014-11-14,1001.75310
2014-11-17,1001.75310
2014-11-18,1001.75310
2014-11-19,1001.75310
2014-11-20,1001.75310
2014-11-21,1001.75310
2014-11-24,1001.75310
2014-11-25,1001.75310
2014-11-26,1001.75310
2014-11-27,1001.75310
2014-11-28,1001.75310
2014-12-01,1001.75310
2014-12-02,1001.75310
2014-12-03,1001.75310
2014-12-04,1001.75310
2014-12-05,1001.75310
2014-12-08,1001.75310
2014-12-09,1001.75310
2014-12-10,1001.75310
2014-12-11,1001.75310
2014-12-12,1001.75310
2014-12-15,1001.75310
2014-12-16,1001.75310
2014-12-17,1001.75310
2014-12-18,1001.75310
2014-12-19,1001.75310
2014-12-22,1001.75310
2014-12-23,1001.75310
2014-12-24,1001.75310
2014-12-26,1001.75310
2014-12-29,1001.75310
2014-12-30,1001.75310
2014-12-31,1001.75310
2015-01-01,1001.75310
2015-01-02,1001.75310
2015-01-05,1001.75310
2015-01-06,1001.75310
2015-01-07,1001.75310
2015-01-08,1001.75310
2015-01-09,1001.75310
2015-01-12,1001.75310
2015-01-13,1001.75310
2015-01-14,1001.75310
2015-01-15,1001.75310
2015-01-16,1001.75310
2015-01-19,1001.75310
2015-01-20,1001.75310
2015-01-21,1001.75310
2015-01-22,1001.75310
2015-01-23,1001.75310
2015-01-27,1001.75310
2015-01-28,1001.75310
2015-01-29,1001.75310
2015-01-30,1001.75310
2015-02-02,1001.75310
2015-02-03,1001.75310
2015-02-04,1001.75310
2015-02-05,1001.75310
2015-02-06,1001.75310
2015-02-09,1001.75310
2015-02-10,1001.75310
2015-02-11,1001.75310
2015-02-12,1001.56090
2015-02-13,1001.75310
2015-02-16,1001.75310
2015-02-18,1001.75310
2015-02-20,1001.75310
2015-02-23,1001.75310
2015-02-24,1001.75310
2015-02-25,1001.75310
2015-02-26,1001.75310
2015-02-27,1001.75310
2015-03-02,1001.75310
2015-03-03,1001.75310
2015-03-04,1001.75310
2015-03-05,1001.75310
2015-03-09,1001.75310
2015-03-10,1001.75310
2015-03-11,1001.75310
2015-03-12,1001.75310
2015-03-13,1001.75310
2015-03-16,1001.75310
2015-03-17,1001.75310
2015-03-18,1001.75310
2015-03-19,1001.75310
2015-03-20,1001.75310
2015-03-23,1001.75310
2015-03-24,1001.75310
2015-03-25,1001.75310
2015-03-26,1001.75310
2015-03-27,1001.75310
2015-03-30,1001.75310
2015-03-31,1001.75310
2015-04-06,1001.75310
2015-04-07,1001.75310
2015-04-08,1001.75310
2015-04-09,1001.75310
2015-04-10,1001.75310
2015-04-13,1001.75310
2015-04-15,1001.75310
2015-04-16,1001.75310
2015-04-17,1001.75310
2015-04-20,1001.75310
2015-04-21,1001.75310
2015-04-22,1001.75310
2015-04-23,1001.75310
2015-04-24,1001.75310
2015-04-27,1001.75310
2015-04-28,1001.74790
2015-04-29,1001.75310
2015-04-30,1001.75310
2015-05-05,1001.75310
2015-05-06,1001.75310
2015-05-07,1001.75310
2015-05-08,1001.75310
2015-05-11,1001.75310
2015-05-12,1001.75310
2015-05-13,1001.75310
2015-05-14,1001.75310
2015-05-15,1001.75310
2015-05-18,1001.75310
2015-05-19,1001.75310
2015-05-20,1001.75310
2015-05-21,1001.75310
2015-05-22,1001.75310
2015-05-25,1001.75310
2015-05-26,1001.75310
2015-05-27,1001.75310
2015-05-28,1001.75310
2015-05-29,1001.75310
2015-06-01,1001.75310
2015-06-02,1001.75310
2015-06-03,1001.75310
2015-06-04,1001.75310
2015-06-05,1001.75310
2015-06-08,1001.75310
2015-06-09,1001.75310
2015-06-10,1001.75310
2015-06-11,1001.75310
2015-06-12,1001.75310
2015-06-15,1001.75310
2015-06-16,1001.75310
2015-06-17,1001.75310
2015-06-18,1001.75310
2015-06-19,1001.75310
2015-06-22,1001.75310
2015-06-23,1001.75310
2015-06-24,1001.75310
2015-06-25,1001.75310
2015-06-26,1001.75310
2015-06-29,1001.75310
2015-06-30,1001.75310
2015-07-01,1001.75310
2015-07-02,1001.75310
2015-07-03,1001.75310
2015-07-06,1001.75310
2015-07-07,1001.75310
2015-07-08,1001.75310
2015-07-09,1001.75310
2015-07-10,1001.75310
2015-07-13,1001.75310
2015-07-14,1001.75310
2015-07-15,1001.75310
2015-07-16,1001.75310
2015-07-17,1001.75310
2015-07-20,1001.75310
2015-07-21,1001.75310
2015-07-22,1001.75310
2015-07-23,1001.75310
2015-07-24,1001.75310
2015-07-27,1001.75310
2015-07-28,1001.75310
2015-07-29,1001.75310
2015-07-30,1001.75310
2015-07-31,1001.75310
2015-08-03,1001.75310
2015-08-04,1001.75310
2015-08-05,1001.75310
2015-08-06,1001.75310
2015-08-07,1001.75310
2015-08-10,1001.75310
2015-08-11,1001.75310
2015-08-12,1001.75310
2015-08-13,1001.75310
2015-08-14,1001.75310
2015-08-17,1001.75310
2015-08-19,1001.75310
2015-08-20,1001.75310
2015-08-21,1001.75310
2015-08-24,1001.75310
2015-08-25,1001.75310
2015-08-26,1001.75310
2015-08-27,1001.75310
2015-08-28,1001.75310
2015-08-31,1001.75310
2015-09-01,1001.75310
2015-09-02,1001.75310
2015-09-03,1001.75310
2015-09-04,1001.75310
2015-09-07,1001.75310
2015-09-08,1001.75310
2015-09-09,1001.75310
2015-09-10,1001.75310
2015-09-11,1001.75310
2015-09-14,1001.75310
2015-09-15,1001.75310
2015-09-16,1001.75310
2015-09-18,1001.75310
2015-09-21,1001.75310
2015-09-22,1001.75310
2015-09-23,1001.75310
2015-09-24,1001.75310
2015-09-28,1001.75310
2015-09-29,1001.75310
2015-09-30,1001.75310
2015-10-01,1001.75310
2015-10-05,1001.75310
2015-10-06,1001.75310
2015-10-07,1001.75310
2015-10-08,1001.75310
2015-10-09,1001.75310
2015-10-12,1001.75310
2015-10-13,1001.75310
2015-10-14,1001.75310
2015-10-15,1001.75310
2015-10-16,1001.75310
2015-10-19,1001.75310
2015-10-20,1001.75310
2015-10-21,1001.75310
2015-10-23,1001.75310
2015-10-26,1001.75310
2015-10-27,1001.75310
2015-10-28,1001.75310
2015-10-29,1001.75310
2015-10-30,1001.75310
2015-11-02,1001.75310
2015-11-03,1001.75310
2015-11-04,1001.75310
2015-11-05,1001.75310
2015-11-06,1001.75310
2015-11-09,1001.75310
2015-11-10,1001.75310
2015-11-13,1001.75310
2015-11-16,1001.75310
2015-11-17,1001.75310
2015-11-18,1001.75310
2015-11-19,1001.75310
2015-11-20,1001.75310
2015-11-23,1001.75310
2015-11-24,1001.75310
2015-11-26,1001.75310
2015-11-27,1001.75310
2015-11-30,1001.75310
2015-12-01,1001.75310
2015-12-02,1001.75310
2015-12-03,1001.75310
2015-12-04,1001.75310
2015-12-07,1001.75310
2015-12-08,1001.75310
2015-12-09,1001.75310
2015-12-10,1001.75310
2015-12-11,1001.66210
2015-12-14,1001.75310
2015-12-15,1001.75310
2015-12-16,1001.75310
2015-12-17,1001.75310
2015-12-18,1001.75310
2015-12-21,1001.75310
2015-12-22,1001.75310
2015-12-23,1001.75310
2015-12-28,1001.75310
2015-12-29,1001.75310
2015-12-30,1001.75310
2015-12-31,1001.75310
2016-01-01,1001.75310
2016-01-04,1001.75310
2016-01-05,1001.75310
2016-01-06,1001.75310
2016-01-07,1001.75310
2016-01-08,1001.75310
2016-01-11,1001.75310
2016-01-12,1001.75310
2016-01-13,1001.75310
2016-01-14,1001.75310
2016-01-15,1001.75310
2016-01-18,1001.75310
2016-01-19,1001.75310
2016-01-20,1001.75310
2016-01-21,1001.75310
2016-01-22,1001.75310
2016-01-25,1001.75310
2016-01-27,1001.75310
2016-01-28,1001.75310
2016-01-29,1001.75310
2016-02-01,1001.75310
2016-02-02,1001.75310
2016-02-03,1001.75310
2016-02-04,1001.75310
2016-02-05,1001.75310
2016-02-08,1001.75310
2016-02-09,1001.75310
2016-02-10,1001.75310
2016-02-11,1001.75310
2016-02-12,1001.75310
2016-02-15,1001.75310
2016-02-16,1001.75310
2016-02-17,1001.75310
2016-02-18,1001.75310
2016-02-22,1001.75310
2016-02-23,1001.75310
2016-02-24,1001.75310
2016-02-25,1001.75310
2016-02-26,1001.75310
2016-02-29,1001.75310
2016-03-01,1001.75310
2016-03-02,1001.75310
2016-03-03,1001.75310
2016-03-04,1001.75310
2016-03-08,1001.75310
2016-03-09,1001.75310
2016-03-10,1001.75310
2016-03-11,1001.75310
2016-03-14,1001.75310
2016-03-15,1001.75310
2016-03-16,1001.75310
2016-03-17,1001.75310
2016-03-18,1001.75310
2016-03-21,1001.75310
2016-03-22,1001.75310
2016-03-23,1001.75310
2016-03-28,1001.75310
2016-03-29,1001.75310
2016-03-30,1001.75310
2016-03-31,1001.75310
2016-04-04,1001.75310
2016-04-05,1001.75310
2016-04-06,1001.75310
2016-04-07,1001.75310
2016-04-11,1001.75310
2016-04-12,1001.75310
2016-04-13,1001.75310
2016-04-18,1001.75310
2016-04-20,1001.75310
2016-04-21,1001.75310
2016-04-22,1001.75310
2016-04-25,1001.75310
2016-04-26,1001.75310
2016-04-27,1001.75310
2016-04-28,1001.75310
2016-04-29,1001.75310
2016-05-02,1001.75310
2016-05-03,1001.75310
2016-05-04,1001.75310
2016-05-05,1001.75310
2016-05-06,1001.75310
2016-05-09,1001.75310
2016-05-10,1001.75310
2016-05-11,1001.75310
2016-05-12,1001.75310
2016-05-13,1001.75310
2016-05-16,1001.75310
2016-05-17,1001.75310
2016-05-18,1001.75310
2016-05-19,1001.75310
2016-05-20,1001.75310
2016-05-23,1001.75310
2016-05-24,1001.75310
2016-05-25,1001.75310
2016-05-26,1001.75310
2016-05-27,1001.75310
2016-05-30,1001.75310
2016-05-31,1001.75310
2016-06-01,1001.75310
2016-06-02,1001.75310
2016-06-03,1001.75310
2016-06-06,1001.75310
2016-06-07,1001.75310
2016-06-08,1001.75310
2016-06-09,1001.75310
2016-06-10,1001.75310
2016-06-13,1001.75310
2016-06-14,1001.75310
2016-06-15,1001.75310
2016-06-16,1001.75310
2016-06-17,1001.75310
2016-06-20,1001.75310
2016-06-21,1001.75310
2016-06-22,1001.75310
2016-06-23,1001.75310
2016-06-24,1001.75310
2016-06-27,1001.75310
2016-06-28,1001.75310
2016-06-29,1001.75310
2016-06-30,1001.75310
2016-07-01,1001.75310
2016-07-04,1001.75310
2016-07-05,1001.75310
2016-07-07,1001.75310
2016-07-08,1001.75310
2016-07-11,1001.75310
2016-07-12,1001.75310
2016-07-13,1001.75310
2016-07-14,1001.75310
2016-07-15,1001.75310
2016-07-18,1001.75310
2016-07-19,1001.75310
2016-07-20,1001.75310
2016-07-21,1001.75310
2016-07-22,1001.75310
2016-07-25,1001.75310
2016-07-26,1001.75310
2016-07-27,1001.75310
2016-07-28,1001.75310
2016-07-29,1001.75310
2016-08-01,1001.75310
2016-08-02,1001.75310
2016-08-03,1001.75310
2016-08-04,1001.75310
2016-08-05,1001.75310
2016-08-08,1001.75310
2016-08-09,1001.75310
2016-08-10,1001.75310
2016-08-11,1001.75310
2016-08-12,1001.75310
2016-08-16,1001.75310
2016-08-18,1001.75310
2016-08-19,1001.75310
2016-08-22,1001.75310
2016-08-23,1001.75310
2016-08-24,1001.75310
2016-08-25,1001.75310
2016-08-26,1001.75310
2016-08-29,1001.75310
2016-08-30,1001.75310
2016-08-31,1001.75310
2016-09-01,1001.75310
2016-09-02,1001.75310
2016-09-06,1001.75310
2016-09-07,1001.75310
2016-09-08,1001.75310
2016-09-09,1001.75310
2016-09-12,1001.75310
2016-09-14,1001.75310
2016-09-15,1001.75310
2016-09-16,1001.75310
2016-09-19,1001.75310
2016-09-20,1001.75310
2016-09-21,1001.75310
2016-09-22,1001.75310
2016-09-23,1001.75310
2016-09-26,1001.75310
2016-09-27,1001.75310
2016-09-28,1001.75310
2016-09-29,1001.75310
2016-09-30,1001.75310
2016-10-03,1001.75310
2016-10-04,1001.75310
2016-10-05,1001.75310
2016-10-06,1001.75310
2016-10-07,1001.75310
2016-10-10,1001.75310
2016-10-13,1001.75310
2016-10-14,1001.75310
2016-10-17,1001.75310
