Date,NAV
2007-02-19,10.01830
2007-02-20,10.02090
2007-02-21,10.02360
2007-02-22,10.02620
2007-02-23,10.02880
2007-02-26,10.03680
2007-02-27,10.03940
2007-02-28,10.04210
2007-03-01,10.04470
2007-03-02,10.04730
2007-03-05,10.05530
2007-03-06,10.05790
2007-03-07,10.06060
2007-03-08,10.06320
2007-03-09,10.06580
2007-03-12,10.07380
2007-03-13,10.07640
2007-03-14,10.07900
2007-03-15,10.08170
2007-03-16,10.08430
2007-03-19,0.00000
2007-03-20,10.09490
2007-03-21,10.09760
2007-03-22,10.10020
2007-03-23,10.10290
2007-03-26,10.11080
2007-03-28,10.11610
2007-03-29,10.11880
2007-03-30,10.12150
2007-04-03,10.13250
2007-04-04,10.13510
2007-04-05,10.13780
2007-04-09,10.14830
2007-04-10,10.15100
2007-04-11,10.15360
2007-04-12,10.15620
2007-04-13,10.15880
2007-04-16,10.16670
2007-04-17,10.16930
2007-04-18,10.17200
2007-04-19,10.17460
2007-04-20,10.17730
2007-04-23,10.18520
2007-04-24,10.18780
2007-04-25,10.19050
2007-04-26,10.19310
2007-04-27,10.19580
2007-04-30,10.20370
2007-05-03,10.21160
2007-05-04,10.21430
2007-05-07,10.22220
2007-05-08,10.22480
2007-05-09,10.22740
2007-05-10,10.23000
2007-05-11,10.23270
2007-05-14,10.24060
2007-05-15,0.00000
2007-05-16,0.00000
2007-05-17,0.00000
2007-05-22,0.00000
2007-05-25,0.00000
2007-05-28,0.00000
2007-05-31,0.00000
2007-06-05,0.00000
2007-06-06,0.00000
2007-06-11,0.00000
2007-06-12,0.00000
2007-06-13,0.00000
2007-06-18,0.00000
2007-06-19,0.00000
2007-06-20,0.00000
2007-06-22,0.00000
2007-06-25,0.00000
2007-06-28,0.00000
2007-07-03,0.00000
2007-07-05,0.00000
2007-07-09,0.00000
2007-07-11,0.00000
2007-07-12,0.00000
2007-07-17,0.00000
2007-07-18,0.00000
2007-07-19,0.00000
2007-07-20,0.00000
2007-07-24,0.00000
2007-07-25,0.00000
2007-07-30,0.00000
2007-07-31,0.00000
2007-08-01,0.00000
2007-08-06,0.00000
2007-08-09,0.00000
2007-08-10,0.00000
2007-08-16,0.00000
2007-08-21,0.00000
2007-09-07,0.00000
