Date,NAV
2012-01-09,1000.00000
2012-01-10,1000.00000
2012-01-11,1000.00000
2012-01-12,1000.00000
2012-01-13,1000.00000
2012-01-16,1000.00000
2012-01-17,1000.00000
2012-01-18,1000.00000
2012-01-19,1000.00000
2012-01-20,1000.00000
2012-01-23,1000.00000
2012-01-24,1000.00000
2012-01-25,1000.00000
2012-01-27,1000.00000
2012-01-30,1000.00000
2012-01-31,1000.00000
2012-02-01,1000.00000
2012-02-02,1000.00000
2012-02-03,1000.00000
2012-02-06,1000.00000
2012-02-07,1000.00000
2012-02-08,1000.00000
2012-02-09,1000.00000
2012-02-10,1000.00000
2012-02-13,1000.00000
2012-02-14,1000.00000
2012-02-15,1000.00000
2012-02-17,1000.00000
2012-02-21,1000.00000
2012-02-22,1000.00000
2012-02-23,1000.00000
2012-02-24,1000.00000
2012-02-27,1000.00000
2012-02-28,1000.00000
2012-02-29,1000.00000
2012-03-01,1000.00000
2012-03-02,1000.00000
2012-03-05,1000.00000
2012-03-06,1000.00000
2012-03-07,1000.00000
2012-03-09,1000.00000
2012-03-12,1000.00000
2012-03-13,1000.00000
2012-03-14,1000.00000
2012-03-15,1000.00000
2012-03-16,1000.00000
2012-03-19,1000.00000
2012-03-20,1000.00000
2012-03-21,1000.00000
2012-03-22,1000.00000
2012-03-26,1000.00000
2012-03-27,1000.00000
2012-03-28,1000.00000
2012-03-29,1000.00000
2012-03-30,1000.00000
2012-04-03,1000.00000
2012-04-04,1000.00000
2012-04-09,1000.00000
2012-04-10,1000.00000
2012-04-11,1000.00000
2012-04-12,1000.00000
2012-04-13,1000.00000
2012-04-16,1000.00000
2012-04-17,1000.00000
2012-04-18,1000.00000
2012-04-19,1000.00000
2012-04-20,1000.00000
2012-04-23,1000.00000
2012-04-24,1000.00000
2012-04-25,1000.00000
2012-04-26,1000.00000
2012-04-27,1000.00000
2012-04-30,1000.00000
2012-05-02,1000.00000
2012-05-03,1000.00000
2012-05-04,1000.00000
2012-05-07,1000.00000
2012-05-08,1000.00000
2012-05-09,1000.00000
2012-05-10,1000.00000
2012-05-11,1000.00000
