SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category,NAV,NAV date
100033,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,897.81,30-Apr-2026
100034,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,INF209K01157,INF209K01CE5,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,130.76,30-Apr-2026
100037,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,INF209K01587,INF209K01CY3,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,12.8801,30-Apr-2026
100038,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,INF209K01579,,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,126.4223,30-Apr-2026
100041,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,,INF209K01KN9,Open Ended Schemes,Debt Scheme - Liquid Fund,108.023,03-May-2026
100042,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,,Open Ended Schemes,Debt Scheme - Liquid Fund,718.014,03-May-2026
100043,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,,Open Ended Schemes,Debt Scheme - Liquid Fund,736.8309,03-May-2026
100044,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,,INF209K01KP4,Open Ended Schemes,Debt Scheme - Liquid Fund,163.694,03-May-2026
100046,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,INF209K01KQ2,INF209K01SQ5,Open Ended Schemes,Debt Scheme - Liquid Fund,100.195,03-May-2026
100047,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Growth,INF209K01RU9,,Open Ended Schemes,Debt Scheme - Liquid Fund,442.4558,03-May-2026
100048,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,INF209KA1LK7,INF209K01KY6,Open Ended Schemes,Debt Scheme - Liquid Fund,108.327,03-May-2026
100051,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW,INF209K01KU4,INF209KA1LJ9,Open Ended Schemes,Debt Scheme - Liquid Fund,100.341,03-May-2026
100057,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,INF209K01AF6,INF209K01DP9,Open Ended Schemes,Debt Scheme - Gilt Fund,10.6222,30-Apr-2026
100058,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,INF209K01AC3,INF209K01AD1,Open Ended Schemes,Debt Scheme - Gilt Fund,79.5692,30-Apr-2026
